"url","pic_url","name","time","career","printdate","onlinedate","abstract"
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5002060?rskey=lJqXyi&result=1564","/cover/searchableMedia/anb-9780198606697-e-5002060-graphic-1-thumbnail.jpg","Keeley, Leslie Enraught","1832-1900","physician and founder of a notorious inebriety cure","1999","1999","Leslie E. Keeley  Courtesy of the National Library of Medicine (B016129)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5003319?rskey=lJqXyi&result=1565","/cover/searchableMedia/anb-9780198606697-e-5003319-graphic-1-thumbnail.jpg","Keen, William Williams","1837-1932","surgeon","1999","1999","William Williams Keen.  Courtesy of the Clendening History of Medicine Library, University of Kansas Medical Center."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5002360?rskey=lJqXyi&result=1566","/cover/searchableMedia/anb-9780198606697-e-5002360-graphic-1-thumbnail.jpg","Kefauver, Estes","1903-1963","U.S. senator","1999","1999","Estes Kefauver  Courtesy of the Library of Congress (LC-USZ62-100596)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000988?rskey=lJqXyi&result=1567","/cover/searchableMedia/anb-9780198606697-e-5000988-graphic-1-thumbnail.jpg","Kelland, Clarence Budington","1881-1964","journalist and author","1999","1999","Clarence B. Kelland Photograph by Arnold Genthe. Courtesy of the Library of Congress (LC-G432-2181)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5001331?rskey=lJqXyi&result=1568","/cover/searchableMedia/anb-9780198606697-e-5001331-graphic-1-thumbnail.jpg","Kellar, Harry","11 July 1849–10 March 1922","magician","1999","1999","Harry Kellar [left to right] Harry Kellar and Harry Houdini, c. 1912. Courtesy of the Library of Congress (LC-USZ62-112406)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000909?rskey=lJqXyi&result=1569","/cover/searchableMedia/anb-9780198606697-e-5000909-graphic-1-thumbnail.jpg","Keller, Helen","1880-1968","author, reformer, and symbol of personal courage","1999","1999","Helen Keller  Courtesy of the Library of Congress (LC-USZ62-112513)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5001356?rskey=lJqXyi&result=1570","/cover/searchableMedia/anb-9780198606697-e-5001356-graphic-1-thumbnail.jpg","Kellerman, Annette","1887-1975","swimming, vaudeville, and film star","1999","1999","Annette Kellerman  Courtesy of the Library of Congress (LC-USZ62-91616)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5001515?rskey=R3pmmL&result=1571","/cover/searchableMedia/anb-9780198606697-e-5001515-graphic-1-thumbnail.jpg","Kelley, Hall Jackson","1790-1874","promoter of Oregon settlement","1999","1999","Hall Jackson Kelley.  Courtesy of the Library of Congress (LC-USZ62-113755)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5001475?rskey=R3pmmL&result=1572","/cover/searchableMedia/anb-9780198606697-e-5001475-graphic-1-thumbnail.jpg","Kelley, Joseph James","1871-1943","baseball player and manager","1999","1999","Joe Kelley. American Tobacco Co. baseball card, c. 1909–1911. Courtesy of the Library of Congress (LOT 13163-18, no. 517)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000169?rskey=R3pmmL&result=1573","/cover/searchableMedia/anb-9780198606697-e-5000169-graphic-1-thumbnail.jpg","Kelley, William Darrah","1814-1890","congressman","1999","1999","William D. Kelley. Mezzotint by  John Sartain . Courtesy of the Library of Congress (LC-USZ62-110938)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000428?rskey=R3pmmL&result=1574","/cover/searchableMedia/anb-9780198606697-e-5000428-graphic-1-thumbnail.jpg","Kellogg, Frank Billings","1856-1937","lawyer and secretary of state","1999","1999","Frank Kellogg  Courtesy of the Library of Congress (LC-USZ62-99922)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000868?rskey=R3pmmL&result=1575","/cover/searchableMedia/anb-9780198606697-e-5000868-graphic-1-thumbnail.jpg","Kellor, Frances Alice","1873-1952","social reformer and arbitration specialist","1999","1999","Frances Kellor  Courtesy of the Library of Congress (LC-USZ62-99077)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5000429?rskey=R3pmmL&result=1576","/cover/searchableMedia/anb-9780198606697-e-5000429-graphic-1-thumbnail.jpg","Kelly, Edward Joseph","1876-1950","mayor of Chicago, Illinois","1999","1999","Edward J. Kelly, 16 November 1929. [left to right] Edward J. Kelly, standing with New York mayor Jimmy Walker at a football game, Soldier Field, Chicago, 16 November 1929. Courtesy of the Library of Congress (LC-USZ62-96793)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5002751?rskey=R3pmmL&result=1577","/cover/searchableMedia/anb-9780198606697-e-5002751-graphic-1-thumbnail.jpg","Kelly, Gene","23 August 1912–02 February 1996","dancer, actor, choreographer, and director","","","Gene Kelly.  Courtesy of the Library of Congress (LC-USZ62-126318)."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5003320?rskey=R3pmmL&result=1578","/cover/searchableMedia/anb-9780198606697-e-5003320-graphic-1-thumbnail.jpg","Kelly, Howard Atwood","1858-1943","surgeon, gynecologist, and medical biographer","1999","1999","Howard Atwood Kelly.  Courtesy of the Clendening History of Medicine Library, University of Kansas Medical Center."
"http://www.anb.org/abstract/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-5001786?rskey=R3pmmL&result=1579","/cover/searchableMedia/anb-9780198606697-e-5001786-graphic-1-thumbnail.jpg","Kelly, Michael Joseph","1857-1894","baseball player","1999","1999","King Kelly. Goodwin & Co. baseball card, 1888. Courtesy of the Library of Congress  (LC-USZC2-5118)."
